id;num_commande;date_commande;date_livraison;date_expedition;status;annomalie
1;31910;2024-05-17;2024-05-17;2024-05-17;39487;79897
2;32988;2024-05-16;2024-05-16;2024-05-16;1665;48660
3;41563;2024-05-17;2024-05-17;2024-05-17;3538;20198
4;86423;2024-05-17;2024-05-17;2024-05-16;1895;55546
5;2840;2024-05-17;2024-05-17;2024-05-17;47887;17607
6;84951;2024-05-16;2024-05-17;2024-05-17;82507;59852
7;11290;2024-05-17;2024-05-17;2024-05-17;78839;3991
8;8539;2024-05-17;2024-05-17;2024-05-17;79135;57099
9;36323;2024-05-17;2024-05-17;2024-05-16;85108;93946
10;52129;2024-05-17;2024-05-16;2024-05-17;40970;17520
